名称,位置,总价,每平方单价,介绍
金马圣隆2-2-1-1 74.21m²,金马圣隆,72,"9,703元/平",中楼层(共5层)2室2厅|74.21平米|南北
新上房源，近轻轨，博伦，通厅户型，中间楼层采光好,龙畔金泉四期,109.8,"12,452元/平",中楼层(共6层)2室1厅|88.18平米|南北
万科商圈封闭小区看湖景视野无遮挡拎包入住,逸林派,88,"14,853元/平",高楼层(共18层)1室1厅|59.25平米|南
标准一室小户型 一楼带 采光好 前面无遮挡,中冶蓝城E区,59.5,"13,459元/平",低楼层(共8层)1室1厅|44.21平米|南
东城天下 2室2厅 南 北,东城天下,85,"9,478元/平",高楼层(共6层)2室2厅|89.69平米|南北
黑石礁 浪花东街 2楼 看房有钥匙,浪花街,103,"11,140元/平",低楼层(共6层)3室1厅|92.46平米|南北
五一广场颐和香榭封闭小区南北通厅精装修拎包既住,颐和香榭,330,"31,918元/平",高楼层(共11层)2室1厅|103.39平米|北南
公园。05年架房，近劳动公园，位置好,城市广场,69,"14,817元/平",中楼层(共28层)1室1厅|46.57平米|东北
红咀街 东海街 中间楼层，念书好房,八十中红咀街,115,"14,936元/平",中楼层(共7层)2室1厅|77平米|南北
马栏广场西苑小区两室两厅 地铁口 两室南北通厅有装修,西苑小区,57,"6,906元/平",高楼层(共7层)2室1厅|82.54平米|南北
鹏辉新世纪四期 3室1厅 北 南,鹏辉新世纪四期,238,"15,425元/平",高楼层(共12层)3室1厅|154.3平米|北南
桃花源小区3室精装修，中楼层，诚心出售,桃花源小区,119,"10,756元/平",中楼层(共7层)3室2厅|110.64平米|东南西
好楼层，位置好，采光好，随时能看,古城丁区,43.5,"7,997元/平",中楼层(共7层)2室1厅|54.4平米|南
精装修2室，近正门 电梯房 中间楼层采光充足,中冶蓝城辛虹园,59.8,"9,325元/平",中楼层(共8层)2室1厅|64.13平米|南北
封闭小区 精装 近车站 近市场 拎包就住,山居笔记,133,"14,511元/平",高楼层(共11层)2室2厅|91.66平米|南北
中铁春风十里 2室2厅 东 西,中铁春风十里,130,"14,864元/平",低楼层(共2层)2室2厅|87.46平米|东西
新上一楼 门头已开，产权清晰，精装 .随时看看,岗松里小区,88.8,"11,156元/平",低楼层(共7层)3室1厅|79.6平米|南北
秀月地铁口封闭小区 大堂电梯入园区 三室通厅采光充足,秀月麒林,365,"28,278元/平",低楼层(共22层)3室2厅|129.08平米|南北
亿锋广场御苑 2室1厅 南 北,亿锋广场御苑,98.8,"14,155元/平",中楼层(共32层)2室1厅|69.8平米|南北
不靠道 中间楼层 三室婚房精装修 全天采光无遮挡,春柳公园,268,"23,172元/平",低楼层(共18层)3室2厅|115.66平米|南北
华润二十四城D区 3室2厅 南 北,华润二十四城D区,239.8,"18,711元/平",高楼层(共7层)3室2厅|128.16平米|南北
华润海中国五期 2室1厅 南,华润海中国五期,140,"15,390元/平",中楼层(共32层)2室1厅|90.97平米|南
桃源44，部队大院，封闭小区，总房款低，南北通透,小龙街,79,"15,172元/平",高楼层(共4层)2室1厅|52.07平米|南北
恒盛阳光美麓 2室1厅 南,恒盛阳光美麓,51,"8,704元/平",高楼层(共33层)2室1厅|58.6平米|南
华业玫瑰东方 3室2厅 南 北,华业玫瑰东方,288,"28,989元/平",低楼层(共28层)3室2厅|99.35平米|南北
楼层好 精装修 拎包入住 背靠大黑山空气好 环境好,恒盛阳光美麓,75,"7,902元/平",低楼层(共20层)2室2厅|94.92平米|南北
高新西 三八里新区 两室带阁楼 新城实验 近政府,三八里新区,40,"6,239元/平",高楼层(共6层)2室1厅|64.12平米|南北
金科集美郡三期，精装修拎包入住，房主急售,金科金弘基·集美郡,65,"8,077元/平",低楼层(共31层)2室1厅|80.48平米|南北
金地自在城 封闭小区婚房装修视野开阔近商场,金地自在城,83,"9,434元/平",高楼层(共34层)2室2厅|87.98平米|南北
南北通透 中间楼层 采光好 大两室 知行,绿香花园,126,"12,622元/平",中楼层(共7层)2室2厅|99.83平米|南北
东城全明三室，装修保持好，诚心出售，位置好，安静,东城天下,118,"10,272元/平",中楼层(共11层)3室2厅|114.88平米|南北
桃花源小区中间楼层 两室两厅采光好小区花坛位置,桃花源小区,92,"8,937元/平",中楼层(共7层)2室2厅|102.95平米|南北
近华南，精装修三室保持好南北通透落地窗带大阳台。,美域盛景,119,"11,384元/平",低楼层(共24层)2室2厅|104.54平米|南北
颐和星海B1空中大平层出售 高层精装修海景房,颐和星海,580,"25,278元/平",高楼层(共37层)4室2厅|229.45平米|南西北
迎客路07年封闭小区南北通透两室近车站市场汇文,隽佳欣苑,82,"10,454元/平",高楼层(共7层)2室2厅|78.44平米|南北
贵府白云小区南北朝向大2室看房方便,贵府白云,69.8,"6,524元/平",低楼层(共7层)2室2厅|107平米|南北
封闭小区 一楼大院 精装修 近轻轨站,艳阳里,67,"13,838元/平",低楼层(共5层)2室1厅|48.42平米|南
东港林苑 两室一厅 次新房 精装修 拎包入住 电梯房,东港林苑,86,"13,593元/平",中楼层(共21层)2室1厅|63.27平米|东
五一广场银寰花园小户型总房款低电梯交通方便配套成熟,银寰花园,54,"11,623元/平",低楼层(共26层)1室1厅|46.46平米|东北
临街门头住宅手续稀有房源业主诚心出售,南岭新城二期,203,"16,895元/平",低楼层(共5层)3室2厅|120.16平米|南北
近友好广场、中山广场，一室低楼层,昆明街（独立街）,34.8,"11,531元/平",低楼层(共6层)1室1厅|30.18平米|东
绿地二期一楼小院 有下跃 南北通透 两室好位置,绿地香树花城,119,"12,699元/平",低楼层(共18层)2室2厅|93.71平米|南北
体育场洋房 婚房装修 全屋欧派定制 一天未住 带车位,万科翡翠都会B区,189,"18,104元/平",中楼层(共9层)3室2厅|104.4平米|南北
新机场通用阳光丽景精装修两室南北通厅好房,通用阳光丽景,73,"7,983元/平",低楼层(共29层)2室1厅|91.45平米|南北
西沟小区两室南北通透实际面积比房本大 近车站 位置好,西沟小区,64,"10,059元/平",高楼层(共6层)2室1厅|63.63平米|南北
德泰时代广场 南北通透 精装修 房子新 红梅 开七,德泰时代广场,85,"11,972元/平",高楼层(共30层)1室0厅|71平米|南北
家装，保持的良好 材料品牌 视野好 观海 光照强,郁林海景花园,39.5,"4,434元/平",中楼层(共27层)2室2厅|89.1平米|南北
伊景华园 标准一室一厅 精装修 拎包入住,伊景华园,180,"27,040元/平",低楼层(共35层)1室1厅|66.57平米|东北
谷歌里 2室1厅 南,谷歌里,80,"12,350元/平",中楼层(共15层)2室1厅|64.78平米|南
和泰万家南园前排 视野光线好精装2室,和泰万家,129,"16,471元/平",高楼层(共46层)2室1厅|78.32平米|南
南北通透三室，中高楼层视野开阔光线好+地下车位,小平岛亲海园,240,"16,486元/平",高楼层(共27层)3室2厅|145.58平米|南北
地铁，户型方正，南北通风，采光好，视野好,保利天禧四期,230,"25,840元/平",高楼层(共41层)2室2厅|89.01平米|南北
急急急公园季11楼3室房源无遮挡,公园季,52.5,"6,521元/平",高楼层(共15层)3室1厅|80.51平米|南北
家豪圣托里尼 1室1厅 南,家豪圣托里尼,56,"15,560元/平",高楼层(共32层)1室1厅|35.99平米|南
金宸联郡 洋房 一梯两户 不把边,金宸联郡,65,"8,072元/平",高楼层(共11层)2室2厅|80.53平米|南北
上东壹号封闭小区小区前排楼层好婚房装修未怎么住。。,上东壹号,72.8,"8,480元/平",中楼层(共6层)2室1厅|85.85平米|南北
八一路转盘 无坡 1室精装 地较好 小户型 价格低,新水巷,33,"10,646元/平",高楼层(共6层)1室1厅|31平米|南
华通一期成熟小区.配套齐全.近海边.市场公交站,华通和平海岸一期,50,"5,554元/平",高楼层(共10层)2室1厅|90.04平米|南北
南北通透，格局好，出行方便，配套成熟,金润小区A区,80,"9,169元/平",低楼层(共6层)2室1厅|87.26平米|南北
远洋广场 2室1厅 东北,远洋广场,118,"17,320元/平",低楼层(共31层)2室1厅|68.13平米|东北
阳光丽景，两室两厅，户型好，装修保持不错，光线充足,通用阳光丽景,65,"7,453元/平",低楼层(共29层)2室2厅|87.22平米|南北
精装修 设施齐全 拎包即住 户型好 楼层好,华润置地未来之城,124,"15,470元/平",中楼层(共18层)3室1厅|80.16平米|南北
：鹏辉 八十 产权清晰无抵押 随时看房 诚心出售,八十中红咀街,59.8,"11,494元/平",高楼层(共6层)2室1厅|52.03平米|南北
此房南北通透，随时看房，交通便利，不把边中间楼层,富贵家园东区,45.9,"8,047元/平",低楼层(共7层)2室1厅|57.04平米|南北
电梯楼，中间楼层，位置采光装修都挺好,翰林书香苑三期,76.3,"8,890元/平",中楼层(共10层)2室1厅|85.83平米|南北
星台花园一期 2室1厅 南 北,星台花园一期,140,"17,787元/平",中楼层(共7层)2室1厅|78.71平米|南北
远洋假日养生庄园，精装顶跃，房主诚意寻有缘人,远洋假日养生庄园,79.8,"8,710元/平",高楼层(共5层)3室2厅|91.62平米|南北
向阳街两室简单装修采光充足格局方正位置好诚心卖房,向阳街西二巷,26,"5,232元/平",中楼层(共7层)1室1厅|49.7平米|东西
金源北里安居小区 2室2厅 南 北,金源北里安居小区,70,"8,041元/平",中楼层(共6层)2室2厅|87.06平米|南北
周水前，花园一楼，南北，4室2厅2卫,星加坡花园,350,"20,851元/平",低楼层(共7层)4室2厅|167.86平米|南北
向阳街两室简单装修采光充足格局方正位置好诚心卖房,向阳街西二巷,26,"5,232元/平",中楼层(共7层)1室1厅|49.7平米|东西
央企开发 东港两室南北户型 精心装修 报价含车位,保利天禧,255,"29,679元/平",中楼层(共30层)2室2厅|85.92平米|南北
南北向，婚房装修保持好 拎包入住，诚心卖房,骏腾名苑,84.5,"12,821元/平",高楼层(共18层)2室1厅|65.91平米|南北
品质小区 ，封闭管理  环境优雅,鸿玮澜山一期,149,"15,892元/平",低楼层(共11层)2室1厅|93.76平米|南
"金三,1楼精装修拎包住，南北向，有客厅，位置好",76中学桥北,86,"16,609元/平",低楼层(共6层)2室1厅|51.78平米|南北
房子是精装修南北两室，位置靠道边，采光好,骊都,41.8,"6,151元/平",低楼层(共11层)2室1厅|67.96平米|南北
南山 高档小区 近9中 24中 精装修 环境好,南山首府,156,"22,999元/平",高楼层(共18层)2室1厅|67.83平米|西南
虎滩路 2室1厅 西南,虎滩路,113,"10,575元/平",高楼层(共7层)2室1厅|106.86平米|西南
粮食小区 2室1厅 南 北,粮食小区,29,"4,851元/平",中楼层(共4层)2室1厅|59.79平米|南北
此房是万科的房源，精装修，拎包即住，房主诚意出售,万科莫亚小镇,42,"4,616元/平",低楼层(共11层)3室2厅|91平米|南北
厦上一楼，南北通透，自己家装修保持好近市场念书近，,久寿街,37,"4,697元/平",低楼层(共6层)2室2厅|78.78平米|南北
一楼，房款低，适合养老或者预算不多的年轻人过渡,石油六闾,46.5,"7,998元/平",低楼层(共7层)2室1厅|58.14平米|南
房主在大连已买房，用不上了，所以出售，价格可议,万科莫亚小镇,28,"3,753元/平",低楼层(共31层)2室1厅|74.62平米|南
圣嘉美地 2室1厅 南 北,圣嘉美地,37.5,"5,202元/平",高楼层(共5层)2室1厅|72.09平米|南北
34星海绿山城电梯双南卧南客厅无遮挡近劳动公园,星海绿山城,208,"28,424元/平",低楼层(共12层)2室1厅|73.18平米|南
南北通厅通透，视野开阔，精装修，没怎么住，诚心出售,东城国际,85,"9,210元/平",中楼层(共11层)2室1厅|92.3平米|南北
尚品两梯四户 精装修三室两卫 楼层好  采光视野俱佳,尚品天城,208,"19,416元/平",中楼层(共30层)3室2厅|107.13平米|南北
大大楼间距，精装修两室，新小区，业主诚心出售,山河滨海花园,85,"11,927元/平",低楼层(共28层)2室1厅|71.27平米|南
翠竹小区 2室1厅 南 北,翠竹小区,46,"5,430元/平",高楼层(共7层)2室1厅|84.72平米|南北
3楼3楼 南北通厅 格局好户型方正 采光好 诚心出售,玉意街,89,"8,930元/平",中楼层(共6层)2室2厅|99.67平米|南北
联胜小区  中间楼层  屋里保持良好  诚心卖,联胜小区,34.8,"6,821元/平",高楼层(共6层)2室1厅|51.02平米|南
同泰街太原街 电梯房诚心出售出行便利配套齐全,同泰街,75,"10,806元/平",低楼层(共18层)2室1厅|69.41平米|东
电梯房，两室精装修，光线视野好，近车站,胜鼎桃源,185,"19,844元/平",中楼层(共22层)2室1厅|93.23平米|南北
自住精装修，空气清新，南北通透，采光好，,宪立巷,52,"9,568元/平",中楼层(共4层)2室1厅|54.35平米|南北
华润海中国观海园 2室1厅 南,华润海中国观海园,90,"10,251元/平",低楼层(共34层)2室1厅|87.8平米|南
亿达精装修 海景2室 适合养老渡假 环境好,亿达蓝湾,48,"6,159元/平",低楼层(共31层)2室2厅|77.94平米|南
御景湾靠前排洋房好楼层南北通透全明户型个人精装修,亿城御景湾,50,"5,748元/平",中楼层(共6层)2室1厅|87平米|南北
精装三室两卫 手续齐全 诚心出售 看房方便 采光视野好,金地自在城,120,"10,606元/平",中楼层(共28层)3室2厅|113.15平米|南北
非顶楼两室精装 单价低 诚心卖 位置好  配套全 好房,刘家桥,59.8,"10,249元/平",中楼层(共8层)2室1厅|58.35平米|南北
特推湖景房 样板间精装修 三室两卫户型,大湖山语,289,"20,774元/平",低楼层(共33层)3室1厅|139.12平米|南北
钻石湾三期 精装修 中间楼层 视野好 光线足,远洋钻石湾三期,110,"21,900元/平",中楼层(共30层)1室1厅|50.23平米|南
楼层适中，家里保持好，距离DT1.1公里！,招商海德公园,98.8,"13,050元/平",中楼层(共32层)2室2厅|75.71平米|南北
峰景西海岸三室精装修可拎包入住采光充足无遮挡,峰景西海岸,100,"10,471元/平",低楼层(共18层)3室1厅|95.51平米|南北东南
绿香花园 2室2厅 南 北,绿香花园,138,"14,094元/平",中楼层(共7层)2室2厅|97.92平米|南北
华润置地幸福里二期 2室2厅 南 北,华润置地幸福里二期,78,"9,725元/平",中楼层(共11层)2室2厅|80.21平米|南北
科技广场 刷卡入户 双地铁 近市场和大型购物广场,科技广场,130,"9,513元/平",低楼层(共28层)2室2厅|136.66平米|南北
店长主推千山路地铁小户型总房款首付低,山东路,33.5,"8,809元/平",高楼层(共6层)1室1厅|38.03平米|南北
鹿港小镇精装修一室，楼层适中，交通便利,鹿港小镇,53,"10,029元/平",低楼层(共33层)1室1厅|52.85平米|南
南北向 西明厅 中间楼层 采光好 交通便利,泡崖七区,57.8,"9,053元/平",低楼层(共6层)2室1厅|63.85平米|南北
华南广场  宏都熙景 清水两室  中间楼层,宏都熙景,136,"18,532元/平",低楼层(共30层)2室1厅|73.39平米|南北
此房小区出口位置，55.9平一室电梯洋房29万可议,颐海听鸥,29,"5,331元/平",高楼层(共6层)1室1厅|54.4平米|东
连大一二期 南向两室 中间楼层 实木全套家具,连大文润金宸一二期,62,"9,533元/平",中楼层(共32层)2室1厅|65.04平米|南
一楼精装修，南北向，全屋地热，看房方便,侯二小区,69,"12,800元/平",低楼层(共7层)2室1厅|53.91平米|南北
地脚好，精装修，南北向地势平坦配套齐全，手续清晰,和平街,56,"6,013元/平",高楼层(共7层)3室2厅|93.14平米|南北
集美郡 小高层三室两厅 客厅宽敞明亮,金科金弘基·集美郡,78,"8,736元/平",中楼层(共31层)3室2厅|89.29平米|南北
