名称,总价,单价,地址,信息,标签
房东置换，诚心出售，真实可靠，欢迎看房,110万,"11,628元/平",月湖花城 -潘黄商圈,2室1厅 | 94.6平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,VR房源
城西  富力科创城精装修房户型好价格好朝南楼层佳,77万,"8,192元/平",富力科创城 -潘黄商圈,3室1厅 | 94平米 | 南 | 精装 | 高楼层(共15层)  | 暂无数据,VR房源/随时看房
中海华樾 4室2厅 南 北,117.8万,"8,925元/平",中海华樾 -麦德龙商圈,4室2厅 | 132平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
中海品质楼盘，小高层，四开间朝南户型，好楼层,195万,"13,266元/平",中海万锦南园 -中南商圈,4室2厅 | 147平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,VR看装修/随时看房
德惠尚书房锦苑精装4房，采光刺眼，看房方便,148万,"11,585元/平",德惠尚书房锦苑 -亭湖高中商圈,4室2厅 | 127.76平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,VR看装修
该房靠人民公园结发街  交通方便,122.8万,"9,564元/平",城投美棠水岸 -东台市,3室2厅 | 128.41平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,VR看装修/随时看房
城南万科翡翠云台 小高层 飞机户型 全天采光 随时看房,158万,"13,167元/平",万科悦达翡翠云台 -中南商圈,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,VR看装修/随时看房
均和华府  毛坯   中间楼层  采光又好  价格又便宜,81.8万,"7,452元/平",均和华府 -盐城会展中心商圈,3室2厅 | 109.77平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,VR看装修/随时看房
悦心园 三室一厅 满五唯一带车库  房东诚心出售,79.8万,"8,211元/平",万方名城·悦心园 -双元西路商圈,3室2厅 | 97.19平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,VR看装修
新小区 户型方正 毛坯自主装修 楼层好 有车库,116.8万,"9,653元/平",锦盛豪庭·南郡 -中南商圈,3室2厅 | 121平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
天辰府好楼层现房采光好房东诚意出售,176.8万,"14,209元/平",城投凤凰汇天辰府 -永基广场商圈,3室2厅 | 124.43平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,VR看装修/随时看房
东亭湖公园旁 绿地商务城乐居园 绿地三期 精装拎包住,73.8万,"8,638元/平",国际花都三期 -盐城会展中心商圈,2室2厅 | 85.44平米 | 南 | 精装 | 中楼层(共14层)  | 塔楼,VR房源
此房为三室两厅一厨房两卫阳光不挡,88.8万,"7,291元/平",晨光满园 -东台市,3室2厅 | 121.8平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,VR看装修/随时看房
欧风花街 聚龙湖 精装三房 楼层好 采光好 含车位,105万,"10,097元/平",瑞尔花园 -聚龙湖商圈,2室2厅 | 104平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,VR看装修
万泰时代城华府 3室1厅 南,84.8万,"8,373元/平",万泰时代城华府 -招商场商圈,3室1厅 | 101.28平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,VR看装修/随时看房
怡景花园   三房朝南    户型方正   有车库,135万,"8,449元/平",怡景花园 -永基广场商圈,4室1厅 | 159.8平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,VR看装修
碧桂园天玺 四室两厅两卫 好楼层 看房随时,195万,"13,637元/平",碧桂园天玺 -富康路商圈,4室2厅 | 143平米 | 南 | 简装 | 高楼层(共15层)  | 板楼,VR看装修/随时看房
怡和园幸福里 3室2厅 南,68万,"7,508元/平",怡和园幸福里 -崇礼路商圈,3室2厅 | 90.58平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,VR看装修/随时看房
城发瑞府小三房，房东诚心出售，价格好谈,72.8万,"7,354元/平",城发瑞府 -东台市,3室2厅 | 99平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,VR看装修
经开区师范学院高铁旁 城东一号花园精装修3室2厅1卫,99万,"9,483元/平",城东一号 -盐城会展中心商圈,3室2厅 | 104.4平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,VR看装修
城南南环路旁，刚需小区光明花苑西园。,49.8万,"6,640元/平",光明花苑西园 -中南商圈,2室2厅 | 75平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,VR看装修
振兴嘉园 2室2厅 南,47.8万,"5,059元/平",振兴嘉园 -张庄商圈,2室2厅 | 94.49平米 | 南 | 毛坯 | 中楼层(共19层)  | 板塔结合,VR看装修/随时看房
虹亚翰庭雅苑 3室2厅 南,100.5万,"9,808元/平",虹亚翰庭雅苑 -富康路商圈,3室2厅 | 102.47平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,VR看装修
此房满二，精装修，有车库，户型好，出租中看房提前约,145万,"14,954元/平",文华名城 -宝龙商圈,3室2厅 | 96.97平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR房源
金水湾电梯洋房，满五唯一，采光刺眼，南北透通双阳台,169.8万,"11,962元/平",金水湾 -东台市,3室2厅 | 141.96平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,VR看装修/随时看房
格局好，楼层好，视野宽阔，采光充足，配套设施齐..,102.8万,"10,078元/平",海陵首府 -东台市,2室2厅 | 102.01平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,VR看装修/随时看房
东景山 悦达889旁 翰庭雅苑 精装两房,78.8万,"9,597元/平",虹亚翰庭雅苑 -富康路商圈,2室1厅 | 82.11平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,VR房源
汇文苑毛坯，2房 楼层好 视野好 采光充足 交通便利,65万,"8,497元/平",悦达汇文苑 -亭湖高中商圈,2室2厅 | 76.5平米 | 南 | 毛坯 | 中楼层(共14层)  | 板楼,VR看装修/随时看房
房主换置|出售|禾成花园|好楼层看房方便|,51.8万,"6,577元/平",禾成花园 -永基广场商圈,2室1厅 | 78.76平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,VR看装修
新小区 和润花园 毛坯随意装修 楼层好 交通便捷,43万,"5,891元/平",长坝和润花园 -双元西路商圈,2室2厅 | 73平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修
高铁站旁 心怡嘉园 毛坯三房 中间楼层,89.8万,"9,327元/平",心怡嘉园 -新河商业街商圈,3室2厅 | 96.28平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
此房毛坯，可按照自己的风格设计规划，房东诚心出售。,62.8万,"6,280元/平",东台悦达悦棠湾 -东台市,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,VR看装修
碧桂园二期  前排别墅 精装大四房 诚心出售价格可谈,148万,"10,356元/平",碧桂园二期 -麦德龙商圈,4室2厅 | 142.92平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,VR房源
解放路景山 园中园小区 精装三房 带车库 仅售46.8万,46.8万,"5,058元/平",园中园小区 -亭湖高中商圈,3室2厅 | 92.54平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,VR看装修/随时看房
戴庄路旁 锦盛豪庭北苑  精装三房 总价低  楼层好,88万,"8,354元/平",锦盛豪庭·北苑 -中南商圈,3室1厅 | 105.34平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,VR房源
大润发旁新小区，电梯三分楼层好，阳光不挡，户型方正,118.8万,"9,223元/平",吕嘉园 -东台市,3室2厅 | 128.81平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,VR看装修/随时看房
南金鹰旁 恒荣世家 精装大两房 小高层 好楼层 有车库,75万,"8,504元/平",恒荣世家 -聚龙湖商圈,2室2厅 | 88.2平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,VR看装修
聚龙湖旁 日月星城 小高层 精装三房 车库,119万,"10,424元/平",日月星城 -聚龙湖商圈,3室2厅 | 114.17平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,VR看装修
凤麟府旁 香城世家 小区前排 采光视野好 中上好楼层,115万,"10,202元/平",香城世家 -麦德龙商圈,3室2厅 | 112.73平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,VR看装修/随时看房
碧桂园世纪云谷，改善社区好楼层带车库看房随时,158万,"11,101元/平",碧桂园世纪云谷 -亭湖商圈,4室2厅 | 142.33平米 | 南 | 毛坯 | 高楼层(共13层)  | 板楼,VR看装修/随时看房
观棠府 4室2厅 南,151.8万,"12,107元/平",观棠府 -麦德龙商圈,4室2厅 | 125.39平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,VR看装修
房主换置出售|禾成花园|毛坯房|看房方便,61万,"6,841元/平",禾成花园 -永基广场商圈,3室2厅 | 89.17平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
楼层好 视野宽阔 精装4房 拎包即住 诚心出售,143万,"11,440元/平",中南世纪城康城三期 -中南商圈,4室2厅 | 125平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,VR看装修
南海未来城旁 珠溪铭苑 毛坯两房 看房方便,35.8万,"4,709元/平",珠溪铭苑 -亭湖商圈,2室1厅 | 76.04平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,VR看装修/随时看房
中南世纪城，新弄里隔壁，精装三房，中等楼层,112.8万,"11,511元/平",中南世纪城9期 -中南商圈,3室2厅 | 98平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,VR看装修/随时看房
市区稀有4房2卫户型 双阳台，配套设施齐全，出行方便,85.8万,"6,573元/平",长坝锦海家园 -双元西路商圈,4室2厅 | 130.55平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,VR看装修/随时看房
麒麟府中间楼栋，中间楼层 四室双卫,140万,"10,820元/平",荣润麒麟府 -富康路商圈,4室1厅 | 129.4平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,VR房源
盛世明都 小洋房 一梯一户 前排全天采光，有车库车位,119.8万,"9,290元/平",盛世明都 -麦德龙商圈,3室2厅 | 128.96平米 | 南 | 毛坯 | 低楼层(共12层)  | 暂无数据,VR看装修/随时看房
城东解放路景山 东润华庭 毛坯现房 采光充足 视野开阔,95万,"6,428元/平",东润华庭 -亭湖高中商圈,4室1厅 | 147.8平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,VR看装修/随时看房
此房毛坯，可按照自己的风格设计规划，房东诚心出售。,62.8万,"6,280元/平",东台悦达悦棠湾 -东台市,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,VR看装修
该房靠人民公园结发街  交通方便,122.8万,"9,564元/平",城投美棠水岸 -东台市,3室2厅 | 128.41平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,VR看装修/随时看房
城南万科翡翠云台 小高层 飞机户型 全天采光 随时看房,158万,"13,167元/平",万科悦达翡翠云台 -中南商圈,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,VR看装修/随时看房
戴庄路旁 锦盛豪庭北苑  精装三房 总价低  楼层好,88万,"8,354元/平",锦盛豪庭·北苑 -中南商圈,3室1厅 | 105.34平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,VR房源
东进华都 精装两房 楼层好 户型方正 有车库,60万,"7,256元/平",东进华都 -潘黄商圈,2室1厅 | 82.7平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,VR看装修
海韵家园三室两厅一厨一卫三房朝阳,56.8万,"5,197元/平",海韵嘉园 -射阳,3室1厅 | 109.3平米 | 南 | 毛坯 | 高楼层(共22层)  | 暂无数据,VR看装修/随时看房
圣华雍翠园 精装3房 采光好 看房方便 家具全留,125万,"9,542元/平",圣华•雍翠园 -中南商圈,3室2厅 | 131平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,VR看装修
总高11层洋房 毛坯 采光好 满五唯一少个税 有车库,109.8万,"10,149元/平",中庚海德公园 -中南商圈,3室2厅 | 108.19平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,VR房源/随时看房
万科翡翠云台精装三房 有钥匙看房方便 物业好,125.6万,"12,753元/平",万科悦达翡翠云台 -中南商圈,3室1厅 | 98.49平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,VR房源/随时看房
公园道1号 3室1厅 南,210万,"15,257元/平",公园道1号 -宝龙商圈,3室1厅 | 137.65平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,VR房源
现代华庭东园 精装好楼层 户型方正 诚心出售,179.8万,"12,232元/平",现代華庭东园 -缤纷亚洲商圈,4室2厅 | 147平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,VR房源
都市壹号，品质小区，电梯好户型。精装修诚意卖房.,109.8万,"9,604元/平",盐城都市铭城 -富康路商圈,3室2厅 | 114.33平米 | 南 | 精装 | 高楼层(共10层)  | 塔楼,VR看装修/随时看房
城南 新弄里旁 荣悦华府 精装 三房 拎包即住,99.8万,"9,882元/平",荣悦华府 -中南商圈,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,VR看装修/随时看房
金辉城 3室2厅 南 北,105.8万,"8,935元/平",金辉城 -中南商圈,3室2厅 | 118.42平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,VR房源/随时看房
急售！华师大旁，荣悦华府，精装三房，满两年随时看房,99.8万,"9,785元/平",荣悦华府 -中南商圈,3室2厅 | 102平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,VR看装修/随时看房
采光充足，视野开阔，诚心出售，交通便捷,92万,"7,741元/平",天樾府 -东台市,3室2厅 | 118.85平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,VR看装修/随时看房
驿龙华府 3室2厅 南,79.8万,"8,400元/平",驿龙华府 -盐都商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,VR看装修/随时看房
吾悦和府沁园洋房 全新精装未入住  全屋品牌 诚心出售,168万,"12,174元/平",吾悦和府沁园 -麦德龙商圈,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,VR看装修/随时看房
内部设施配置比较全楼层采光好装修漂亮,206万,"16,877元/平",紫金花园南区 -缤纷亚洲商圈,3室2厅 | 122.06平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,VR看装修
香城世家  婚精装3房 拎包入住  楼层好 价格可谈,112万,"11,971元/平",香城世家 -麦德龙商圈,3室2厅 | 93.56平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,VR看装修/随时看房
盐渎路品质小区 小高层 精装 拎包即住 满二年,199.8万,"14,197元/平",香苑东园 -中南商圈,3室2厅 | 140.74平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,VR看装修
城南 世贸璀璨星河 单价8000多 毛坯4房 中上楼层,108万,"8,632元/平",世茂璀璨星河 -中南商圈,4室2厅 | 125.13平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,VR看装修/随时看房
观湖壹号 诚心出售，看房方便，,118万,"10,536元/平",观湖名邸 -聚龙湖商圈,3室2厅 | 112平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,VR看装修
此房朝南，户型方正、小型住宅、楼层好、采光好,45.8万,"8,734元/平",翰林壹品城 -麦德龙商圈,1室1厅 | 52.44平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,VR看装修/随时看房
中海九樾 电梯房 大三房有车位,239万,"19,917元/平",中海九樾 -缤纷亚洲商圈,3室1厅 | 120平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,VR房源/随时看房
城东宝龙 帝王楼层 单价7850 产证满二 随时看房,89.8万,"7,850元/平",城东宝龙广场 -亭湖商圈,4室2厅 | 114.4平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,VR看装修/随时看房
此房为精装修，户型方正，采光刺眼，舒适没有压抑,84.8万,"7,999元/平",书香名府 -东台市,3室2厅 | 106.02平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,VR看装修/随时看房
城南 兴邦旁 改善3+1 全新装修 有车库 太保楼层,99.8万,"7,482元/平",光明东苑 -中南商圈,4室2厅 | 133.39平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,VR看装修/随时看房
老城区 新小区 毛坯三房双卫双阳台,90万,"6,871元/平",长坝锦海家园 -双元西路商圈,4室2厅 | 131平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,VR看装修/随时看房
小区正中间位置，视野光线都好，有车位总价低,93.8万,"7,970元/平",恒大悦澜湾 -亭湖高中商圈,3室2厅 | 117.7平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,VR看装修/随时看房
富力科创城 3室2厅 南 北,74.5万,"7,941元/平",富力科创城 -潘黄商圈,3室2厅 | 93.82平米 | 南 北 | 精装 | 低楼层(共15层)  | 暂无数据,VR看装修/随时看房
新苑小区二区采光视线好诚心出售,80.88万,"8,311元/平",新苑小区（二三四区） -缤纷亚洲商圈,3室2厅 | 97.32平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,VR看装修/随时看房
吾悦南区好楼层，品牌硬装拎包入住,119.8万,"11,088元/平",吾悦和府南区 -东台市,3室1厅 | 108.05平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,VR看装修/随时看房
招商场旁 文泽府邸 中间楼层  有车库,128万,"10,542元/平",文泽府邸 -招商场商圈,3室2厅 | 121.42平米 | 南 | 毛坯 | 中楼层(共21层)  | 暂无数据,VR看装修/随时看房
此房满二，精装，业主诚心出售，看中价格可谈,50万,"6,494元/平",华景园 -富康路商圈,2室1厅 | 77平米 | 南 | 简装 | 高楼层(共11层)  | 塔楼,VR看装修
钱江绿洲 3室2厅 南,89.8万,"9,639元/平",钱江绿洲 -崇礼路商圈,3室2厅 | 93.17平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,VR房源/随时看房
城南次新小区，采光无遮挡，三房两卫，随时看,115万,"8,945元/平",通银·天御 -中南商圈,3室2厅 | 128.57平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,VR看装修/随时看房
