名称,总价,每平方单价,小区名称,地址,房型,面积,朝向,楼层,建造时间
总价2字头 16号线地铁口 精装三房二卫 业主诚心出售 急售,265万,31177元/㎡,中央悦城,龙岗-龙岗中心城-长兴北路3号,3室2厅2卫,85㎡,南,高层(共32层),2013年建造
超舒适大两房，3字头，不容错过,398万,78486元/㎡,星海名城(五期),南山-前海-前海路3101号,2室1厅1卫,50.71㎡,南北,中层(共32层),2006年建造
坪山新合实验  临地铁 满五    高楼层采光充足 小三房,278万,31226元/㎡,金地朗悦(东区),坪山-坪山-环兴一路,3室2厅2卫,89.03㎡,南北,高层(共33层),2014年建造
高品质精装，满五  ，价格很实惠，随时看房坪山的中心中心。,338万,35224元/㎡,深城投中心公馆(公寓住宅),坪山-坪山-兰竹西路33号,4室2厅2卫,95.96㎡,南北,低层(共40层),2020年建造
龙光玖龙台 双卫生间 精装修 满五   南向采光好 电梯房,610万,58699元/㎡,龙光玖龙台,光明-光明-观光路,4室2厅2卫,103.92㎡,南,低层(共36层),2017年建造
（高增送复式户型！）花园大社区！朝南看花园！,485万,50234元/㎡,佳兆业可园(南区),布吉-百鸽笼-湖西路,4室2厅2卫,96.55㎡,东南,低层(共21层),2005年建造
新政首月业主价格不变，非常诚心，满五深中有效！,415万,46630元/㎡,颐安麓园,龙岗-龙岗中心城-黄阁路,3室2厅2卫,89㎡,南北,中层(共34层),2018年建造
合正观澜汇(一期) 南北通透 房龄新 大三居 精装可拎包入住,488万,54850元/㎡,合正观澜汇(一期),龙华-观澜-观澜大道115号,3室2厅2卫,88.97㎡,南北,共3层,2018年建造
再次击穿碧海四房价格，598买四房，业主诚心抛售,626万,70109元/㎡,碧海富通城六期,宝安-西乡-西乡大道306-39号,4室2厅2卫,89.29㎡,北,低层(共30层),2010年建造
懿花园 产权清晰 房龄新 满五   三房 正南朝向,405万,45303元/㎡,懿花园,龙华-观澜-求知二路39号,3室2厅2卫,89.4㎡,南,中层(共10层),2014年建造
户型方正，一梯二户，实用率非常高。,1098万,113430元/㎡,景茗苑,福田-景田北-景田路84号,3室2厅2卫,96.8㎡,南北,高层(共8层),1999年建造
时光道看海大宅，三面采光，5房3套房，大客厅,7800万,195985元/㎡,双玺时光道,"南山-蛇口-望海路,近福湾路",4室3厅5卫,397.99㎡,西南,低层(共37层),2017年建造
金域豪庭(三期) 满五   正规商品房 商业配套齐全,438万,50537元/㎡,金域豪庭(三期),宝安-福永-金菊下路1巷4号,3室2厅1卫,86.67㎡,东南,高层(共13层),2011年建造
满五   近地铁 精装可拎包入住 正规商品房 双卫 南北通透,676万,75904元/㎡,笔架山公馆,福田-上梅林-林园东路10号,3室2厅2卫,89.06㎡,南北,中层(共33层),2016年建造
医疗配套成熟 双卫格局 精装修 满五   近地铁 刚需小三居,560万,64613元/㎡,信义嘉御山,龙岗-坂田-吉华路698号,3室2厅2卫,86.67㎡,北,高层(共26层),2013年建造
山海津 商品房 南向采光好 近地铁 满五   精装好房,399万,55417元/㎡,山海津,南山-蛇口-兴海大道1048号,2室1厅1卫,72㎡,南,中层(共19层),2013年建造
好房要淘 好房难得 进来看看 五星经纪人为您服务,170万,19768元/㎡,雅庭苑,宝安-西乡-内环路,3室2厅2卫,86㎡,南北,中层(共12层),2019年建造
联富华庭大3居~婚房装修~朝向采光好~电梯房,128万,14383元/㎡,联富华庭,龙华-龙华中心区-清泉路,3室2厅2卫,89㎡,南北,低层(共29层),2017年建造
超笋盘地铁口总价一字头水岸新都精装三房满五南北通透外国语  ,198万,22783元/㎡,水岸新都(五期),"龙岗-龙岗中心城-丰都一路,近坪西路",3室2厅1卫,86.91㎡,南北,低层(共28层),2010年建造
业主急售 新上架 山海四季城 离地铁口近,320万,42222元/㎡,鹏广达山海四季城,盐田-盐田-东海三街8号,3室2厅1卫,75.79㎡,南北,低层(共40层),2015年建造
大学城标杆豪宅，16年品质4房，议价中，环球汇塘朗站，诚售,1020万,114697元/㎡,宝能城花园(东区),南山-大学城-留仙大道3288号,4室2厅2卫,88.93㎡,南北,高层(共45层),2016年建造
我不是在向您卖房！我是在用心为您挑选一个满意的家！,618万,69283元/㎡,桃源村(三期),南山-桃源村-龙珠八路8号,3室2厅1卫,89.2㎡,东北,低层(共35层),2009年建造
恒裕嘉城 精装可拎包入住 临地铁 商圈成熟 商品房 正南朝向,290万,32548元/㎡,恒裕嘉城,龙岗-龙岗中心城-龙升路36号,4室2厅1卫,89.1㎡,南,低层(共33层),2017年建造
次新房 正南朝向 正规商品房 商业配套成熟 高楼层采光充足,310万,38272元/㎡,观山盛苑,罗湖-布心-金稻田路,3室2厅1卫,81㎡,南,高层(共51层),2022年建造
大仟里楼上三房两卫，业主置换诚心卖，满五税费少，安静适合住家,748万,85359元/㎡,前城滨海花园,宝安-宝安中心区-宝安大道,3室2厅2卫,87.63㎡,东南,中层(共53层),2019年建造
观山盛苑 双卫生间 临地铁 商圈成熟 满二   电梯房,520万,39098元/㎡,观山盛苑,罗湖-布心-金稻田路,4室2厅2卫,133㎡,东北,低层(共51层),2022年建造
近期入手看这套，省去装修烦恼，悦峰华府，车位充足,350万,38044元/㎡,悦峰华府,罗湖-草埔-木棉岭路4号,3室2厅2卫,92㎡,南北,低层(共51层),2023年建造
大沙河旁 厅出阳台正规三房 高层看西丽湖无遮挡 诚意出售,720万,80546元/㎡,德意名居(一期),南山-大学城-西丽湖路4221-31号,3室2厅1卫,89.39㎡,北,高层(共18层),2011年建造
融湖中心城(一期) 满五 有电梯 小三房 楼龄新,345万,38765元/㎡,融湖中心城(一期),龙岗-平湖-歧阳路8号,3室2厅1卫,89㎡,南,高层(共29层),2014年建造
南山麒麟实验总部  梯队，业主急售卖房出国，欢迎实地品鉴！！,990万,101155元/㎡,阳光荔景,南山-南头-南头街36号,3室2厅1卫,97.87㎡,北,中层(共12层),2001年建造
地铁口物业，南北通透，前后双阳台，清林  ，龙城中学。,380万,28762元/㎡,尚景华园,龙岗-龙城国际-龙福路166号,3室2厅2卫,132.12㎡,南北,中层(共11层),2016年建造
星河天地(一三期)  诚心出售 原价420W  现卖330W,420万,46991元/㎡,星河天地(一三期),光明-光明-光明大道511号,3室2厅2卫,89.38㎡,南,高层(共49层),2019年建造
厅出阳台全朝南的，安静，全新装修,700万,72322元/㎡,星海名城(二期),南山-前海-前海路3103号,3室2厅2卫,96.79㎡,南,低层(共14层),2002年建造
麓园精装三房两厅两卫，高楼层东南朝向，通风采光佳，拎包入住。,380万,42549元/㎡,颐安麓园,龙岗-龙岗中心城-黄阁路,3室2厅2卫,89.31㎡,东南,高层(共34层),2019年建造
440超抵笋盘，莲塘口岸三房，送15平露台罕有户型,450万,45881元/㎡,新世界鹿茵翠地,罗湖-莲塘-鹏兴路1号,3室2厅2卫,98.08㎡,南北,低层(共17层),2003年建造
物业直售 可以打麻将喝茶的大阳台您敢信 满五一红本业主诚意出,766万,89991元/㎡,万科金域华府,龙华-梅林关口-新区大道,3室2厅2卫,85.12㎡,南,中层(共34层),2019年建造
佳华领域广场一期 高楼层采光充足 商业配套成熟 产权清晰,435万,49192元/㎡,佳华领域广场一期,龙华-观澜-观澜大道388号,3室2厅2卫,88.43㎡,南,高层(共36层),2018年建造
香蜜湖刚需上车盘 ，   精装3房，安静高层,990万,106670元/㎡,侨香村,福田-香蜜湖-安托山九路1号,3室2厅2卫,92.81㎡,南,高层(共35层),2011年建造
新地中央 电梯3房急售  临地铁 价格可谈 业主比较熟,375万,43676元/㎡,新地中央,光明-光明-光明大道,3室2厅1卫,85.86㎡,南北,低层(共32层),2018年建造
沙井急出 仅76W（五证齐全，定金过户）可按揭 线上可看房,156万,20527元/㎡,华瑞阁,宝安-沙井-上星路,3室2厅1卫,76㎡,南北,低层(共22层),2017年建造
光明大第笋盘推出，业主置换急出，来电直省90万,520万,59449元/㎡,光明大第,光明-光明-观光路,3室2厅2卫,87.47㎡,南北,高层(共28层),2015年建造
价格好谈！静看花园！ 南北通透三房 横厅设计  拎包入住,360万,40910元/㎡,万科公园里,布吉-南岭-樟富北路8号,3室2厅2卫,88㎡,南北,中层(共32层),2013年建造
业主换房急售，福外景秀小加福外本部初！！高性价,608万,77680元/㎡,赛格景苑,福田-景田北-景田北路,2室2厅1卫,78.27㎡,西北,中层(共27层),1997年建造
蓝郡西堤中空复式豪宅 车位充足  南北通透 豪装全海景,999万,61561元/㎡,蓝郡西堤,盐田-沙头角-金融路,5室2厅3卫,162.28㎡,南北,低层(共40层),2017年建造
清盘价 一口价70万 红本可按揭 公积金贷 产权清晰 送车位,158万,25060元/㎡,中兆花园,布吉-丹竹头-龙岗大道(布吉段)2582号,3室2厅1卫,63.05㎡,南,高层(共8层),2000年建造
418买茨新三房两卫 近地铁 车位充足  随时看房,418万,46363元/㎡,半山悦海花园,盐田-沙头角-深盐路,3室2厅2卫,90.16㎡,南北,高层(共42层),2019年建造
地铁7.5万平自持商业配套 星河精装房业主换房惜售！！！,450万,50404元/㎡,星河天地(一三期),光明-光明-光明大道511号,3室2厅2卫,89.28㎡,南,低层(共49层),2020年建造
万科天誉视野无遮挡，看房有钥匙，红五一只要契税，三馆一城,389万,44539元/㎡,万科天誉(二期),"龙岗-龙岗中心城-龙翔大道,近德政路",3室2厅2卫,87.34㎡,西北,中层(共41层),2017年建造
光明凤凰城龙光玖龙台笋盘，业主急出，来电直省100万,530万,59324元/㎡,龙光玖龙台,光明-光明-观光路,3室2厅2卫,89.34㎡,南,中层(共35层),2018年建造
梅林一村 八区低密度 小高层 中间楼层东南向 红本急售,780万,83871元/㎡,梅林一村(五至十三区),福田-下梅林-梅林路148号,3室2厅1卫,93㎡,东南,中层(共9层),2000年建造
亚钢1号，业主急卖，价格好谈，地铁口，诚心出售！来电！,68.6万,13183元/㎡,亚钢1号,龙岗-平湖-富安大道,2室2厅1卫,52㎡,南北,共4层,2018年建造
"挂盘价418w,业主急需用钱此房在少40万看上可带大刀谈",400万,44718元/㎡,新地中央,光明-光明-光明大道,3室2厅2卫,89.45㎡,南北,高层(共32层),2015年建造
光明中心 总30万全抛 红本过户 银行按揭 送车位 看房来电,77.3万,8873元/㎡,星海大厦,光明-公明-新围路34号,3室2厅2卫,87.12㎡,南北,中层(共12层),2022年建造
华南师大，家门口的教室，满五  红本在手，33X,358万,36992元/㎡,特发天鹅湖畔,龙岗-平湖-天鹅路159号,3室2厅2卫,96.78㎡,南北,中层(共48层),2021年建造
溪山美地园 双卫格局 近地铁 楼层好 满五   商品房,750万,60808元/㎡,溪山美地园,龙华-梅林关口-梅坂大道236号,4室2厅2卫,123.34㎡,南,中层(共28层),2009年建造
性价比高 近地铁 满五 高楼层采光充足 小三居 交通便利,338万,35579元/㎡,流塘大厦,宝安-流塘-宝民二路,3室2厅1卫,95㎡,东北,高层(共23层),2003年建造
颐安都会四期南北通大三房，业主急售，价格可谈，中间楼层随时看,366万,40749元/㎡,颐安都会中央(四期),龙岗-大运-红棉路,3室2厅2卫,89.82㎡,南北,中层(共33层),2020年建造
光明新村核心地段，核心位置，，诚意出售 ！！,135万,15169元/㎡,光明新村,光明-光明-华裕路,3室2厅2卫,89㎡,东南,中层(共28层),2016年建造
滢水山庄(二区) 双卫格局 有电梯 满五 交通便捷 低容积,395万,44383元/㎡,滢水山庄(二区),龙华-梅林关口-梅坂大道130号,3室2厅2卫,89㎡,南北,低层(共8层),2002年建造
宝安实验电梯大三房，高赠送95平露台，业主诚心出售！,525万,65388元/㎡,中南花园,宝安-宝安中心区-宝安大道1068号,3室2厅1卫,80.29㎡,西南,低层(共11层),2001年建造
星河南北通大四房急售755欢迎来砍,755万,71355元/㎡,星河传奇,龙华-民治-民塘路,4室2厅2卫,105.81㎡,东北,中层(共40层),2016年建造
楼层好 商品房 医疗配套成熟 双卫生间 满二   税费少,699万,62117元/㎡,公园大地,龙岗-龙岗中心城-龙翔大道6063号,3室2厅2卫,112.53㎡,南,中层(共18层),2009年建造
皇御苑二期 两房改一房 交通便捷 近地铁口 采光好 朝南,409万,63977元/㎡,皇御苑(二期),福田-皇岗-福田南路9号,2室2厅1卫,63.93㎡,南,中层(共32层),2003年建造
宏发世纪城南北通透3房出售 满五    业主再次降价30碗,390万,44148元/㎡,宏发世纪城(二期),宝安-石岩-宝石东路,3室2厅2卫,88.34㎡,南北,低层(共32层),2016年建造
业主紧急少200万！小区  一套平层 厅出阳台朝南看花园,695万,60435元/㎡,新锦安雅园,宝安-翻身路-湖滨中路,3室2厅2卫,115㎡,南,中层(共14层),2000年建造
公园里三期 高层朝南三房 视野无遮挡  随时看房,380万,43679元/㎡,万科公园里,布吉-南岭-樟富北路8号,3室2厅2卫,87㎡,南,高层(共31层),2017年建造
8栋看山景的横厅3房户型，独门独户的，红本在手可过户,415万,46630元/㎡,颐安麓园,龙岗-龙岗中心城-黄阁路,3室2厅2卫,89㎡,西北,高层(共35层),2018年建造
鹏广达湾区壹号~8折~户型方正~全明格局,480万,39024元/㎡,鹏广达湾区壹号,盐田-盐田-东海四街,3室2厅3卫,123㎡,南北,高层(共38层),2023年建造
红岭本部！爆炸三房，  楼层，诚意出售，看房联系刘闪,560万,68443元/㎡,园岭新村,福田-园岭-笋岗西路2057号,3室2厅1卫,81.82㎡,南北,低层(共8层),1983年建造
一线海景视野，客厅主卧跑马大阳台，品质小区豪宅典范,2950万,200858元/㎡,红树西岸,南山-华侨城-深湾一路3号,3室2厅2卫,146.87㎡,东,中层(共31层),2005年建造
大芬 近医院 出行方便 近地铁 南向采光好 商业配套成熟,278万,34098元/㎡,怡康家园,布吉-大芬-中翠路109号,3室2厅1卫,81.53㎡,南,高层(共30层),2005年建造
绿景物业地面花园社区东南朝向，安静位置，客厅大气安静不吵,660万,59492元/㎡,绿景新苑(一期),福田-新洲-新洲七街44号,3室2厅2卫,110.94㎡,东南,中层(共27层),2002年建造
电梯房 刚需小三居 满五   精装修 临地铁 产权清晰,370万,42657元/㎡,万科公园里,布吉-南岭-樟富北路8号,3室2厅2卫,86.74㎡,南,低层(共40层),2017年建造
真正的卷王 330万买四房 还是精装修 楼层高看园林景观,330万,37905元/㎡,恒大国香山,布吉-沙湾-沙平北路92号,4室2厅2卫,87.06㎡,南,中层(共41层),2015年建造
颐安都会五期笋盘！！328万随时可谈中高楼层视野开阔。,328万,36854元/㎡,颐安都会中央(五期),龙岗-大运-红棉路,3室2厅2卫,89㎡,东南,高层(共32层),2018年建造
深超总公寓，全新装修，楼下就是地铁口 ，   ,720万,97285元/㎡,瑧湾汇,南山-华侨城-深湾一路,3室2厅2卫,74.01㎡,南,中层(共33层),2018年建造
前海大社区 鼎太风华四期 南北通透 两梯两户 住家舒适,966万,84191元/㎡,鼎太风华(四期),南山-前海-前海路1083号,3室2厅2卫,114.74㎡,南,中层(共18层),2004年建造
到底什么户型，近期连续卖两套（新上好房，蓝郡广场）,1100万,66550元/㎡,蓝郡广场,盐田-沙头角-海景二路1039号,5室2厅3卫,165.29㎡,南北,中层(共34层),2008年建造
降了5字头！豪装自住，产权  ，  随时联系！,620万,71265元/㎡,园东花园,福田-园岭-园岭五街1号,3室2厅1卫,87㎡,东北,中层(共32层),1996年建造
东泉新村，错过只能去后悔，失去不能拥有,145万,17160元/㎡,东泉新村,龙华-民治-梅龙路,3室2厅2卫,84.5㎡,南北,中层(共12层),2017年建造
业主出国急卖，自住豪华精装修，南北通透安静居家，价格还可以少,999万,75130元/㎡,盛世鹏程花园,福田-上步-八卦一路,4室2厅2卫,132.97㎡,西北,中层(共33层),2005年建造
金怡华庭 满五 精装可拎包入住 高楼层采光充足 近地铁,449万,70201元/㎡,金怡华庭,福田-皇岗-金田路2003号,2室2厅1卫,63.96㎡,南北,高层(共30层),2004年建造
